drug_code,code_status,약품명,opening_qty,in_qty,used_qty,disposal_qty,return_qty,current_qty
BARACT0.5,CODE,바라크루드정0.5mg,66,0,0,0,0,66
VLT3,CODE,바렙톨서방정,5674,0,0,0,0,5674
,NOCODE,바로메졸캡슐20mg,0,0,0,0,0,0
,NOCODE,바로스크정10mg,0,0,0,0,0,0
,NOCODE,바로스크정5mg,0,0,0,0,0,0
BRP10,CODE,바로판10mg,0,0,0,0,0,0
VSTNMR,CODE,바스티난엠알서방정35mg,220,0,0,0,0,220
VSTN,CODE,바스티난정,0,0,0,0,0,0
BACILLI,CODE,바실리포미스캡슐,6096,0,0,0,0,6096
SBCLP1,CODE,바크라폰정10mg,4389,0,0,0,0,4389
VANCOZIN,CODE,반코진캡슐125mg,121,0,0,0,0,121
VCZC,CODE,반코진캡슐250mg,280,0,0,0,0,280
VTFCT160,CODE,발탄필름코팅정/160mg,0,0,0,0,0,0
SVATNFMCT8,CODE,발탄필름코팅정80mg,0,0,0,0,0,0
VNRNC3,CODE,베노론캡슐,0,0,0,0,0,0
VNT5,CODE,베니톨정500mg,172,0,0,0,0,172
,NOCODE,베시솔정10mg,0,0,0,0,0,0
,NOCODE,베시솔정5mg,0,0,0,0,0,0
,NOCODE,베아릴엠정2/500mg,0,0,0,0,0,0
,NOCODE,베아릴정2mg,0,0,0,0,0,0
,NOCODE,베아신정250mg,0,0,0,0,0,0
BACXB2,CODE,베아콕시브캡슐200mg,0,0,0,0,0,0
BTGR50,CODE,베타그론서방정50mg,1167,0,0,0,0,1167
,NOCODE,베타미가서방정50mg,0,0,0,0,0,0
BTUR50,CODE,베타유론서방정50mg,0,0,0,0,0,0
BPS10,CODE,베포쎈정10mg,0,0,0,0,0,0
BNL-A,CODE,보나링에이정,504,0,0,0,0,504
,NOCODE,보니엠정150mg,0,0,0,0,0,0
MEIAT,CODE,보령메이액트정100mg,689,0,0,0,0,689
ASTRXBYC1,CODE,보령아스트릭스캡슐100mg,1377,0,0,0,0,1377
EBSTBR,CODE,보령에바스텔정,0,0,0,0,0,0
BONA70,CODE,본에이드정70mg,0,0,0,0,0,0
,NOCODE,본틸정150mg,0,0,0,0,0,0
,NOCODE,본틸정35mg,0,0,0,0,0,0
MTMZLBK,CODE,부광메티마졸정5mg,0,0,0,0,0,0
AZEPT,CODE,부광아젭틴정,200,0,0,0,0,200
BKETCVIRT,CODE,부광엔테카비르정0.5mg,0,0,0,0,0,0
,NOCODE,부광엔테카비르정1mg,0,0,0,0,0,0
ISMRTD,CODE,부광이소맥지속성캡슐20mg,0,0,0,0,0,0
BRNJ,CODE,브로나제장용정,424,0,0,0,0,424
BRM45,CODE,브로멜장용정45mg,0,0,0,0,0,0
BRTLX1,CODE,브린텔릭스정10mg,56,0,0,0,0,56
BRLT9,CODE,브릴린타정90mg,88,0,0,0,0,88
VNCLEAN,CODE,비나크린정,0,0,0,0,0,0
VRAD,CODE,비리어드정,0,0,0,0,0,0
VVZCL75,CODE,비보존클로피도그렐정75mg,0,0,0,0,0,0
,NOCODE,비엘바클로정10mg,0,0,0,0,0,0
,NOCODE,비엘셋세미정,0,0,0,0,0,0
,NOCODE,비엘셋정/라노펜정대체,0,0,0,0,0,0
,NOCODE,비엘아세틸캡슐/뮤테인캡슐대체,0,0,0,0,0,0
,NOCODE,비엘티로미정100mg,0,0,0,0,0,0
BOFP,CODE,비오플250산,2669,0,0,0,0,2669
VTMJ,CODE,비타메진캡슐50mg,500,0,0,0,0,500
,NOCODE,빅손정2mg,0,0,0,0,0,0
VDMT50,CODE,빌다메트정50/1000mg,60,0,0,0,0,60
VDMT500,CODE,빌다메트정50/500mg,354,0,0,0,0,354
VSK100,CODE,빔스크정100mg,591,0,0,0,0,591
B-C,CODE,삐콤정,3852,0,0,0,0,3852
SEMION,CODE,사미온정10mg,1191,0,0,0,0,1191
SSMO3,CODE,사미온정30mg,146,0,0,0,0,146
SSLLNR3,CODE,사일레노정3mg,61,0,0,0,0,61
,NOCODE,살라겐정,0,0,0,0,0,0
LPRMD,CODE,삼남로페라마이드캡슐,486,0,0,0,0,486
AMNP5,CODE,삼남아세트아미노펜정500mg,2334,0,0,0,0,2334
,NOCODE,삼성라베프라졸정10mg,0,0,0,0,0,0
,NOCODE,삼성라베프라졸정20mg,0,0,0,0,0,0
SAMSCA15,CODE,삼스카정15mg,0,0,0,0,0,0
,NOCODE,삼아아토크정,0,0,0,0,0,0
KTTF,CODE,삼아케토티펜정,0,0,0,0,0,0
,NOCODE,삼진니모디핀정30mg,0,0,0,0,0,0
DAZP2,CODE,삼진디아제팜정2mg,264,0,0,0,0,264
,NOCODE,삼진히드랄라진염산염,0,0,0,0,0,0
SMGNSOX,CODE,삼천당산화마그네슘정250mg,1100,0,0,0,0,1100
CCDPRT2,CODE,서카딘서방정2mg,0,0,0,0,0,0
,NOCODE,세록심정250mg,0,0,0,0,0,0
SVKHT5/20,CODE,세비카에이치씨티정5/20/12.5mg,718,0,0,0,0,718
SETORAM5,CODE,세토람정,0,0,0,0,0,0
CFL250,CODE,세플러캡슐,57,0,0,0,0,57
SSV10,CODE,센시발정10mg,0,0,0,0,0,0
,NOCODE,센시발정25mg,0,0,0,0,0,0
SENTIL5,CODE,센틸정5mg,96,0,0,0,0,96
CELION1,CODE,셀리온정10mg,1355,0,0,0,0,1355
,NOCODE,셀리온정10mg/포장단위변경,0,0,0,0,0,0
CELMT4,CODE,셀메텍정40mg,360,0,0,0,0,360
SELBEXC5,CODE,셀벡스캡슐,1061,0,0,0,0,1061
CKRT,CODE,셀코르정4mg,0,0,0,0,0,0
COMPZ,CODE,셀트리온오메프라졸캡슐20mg,280,0,0,0,0,280
SEPTR,CODE,셉트린정,581,0,0,0,0,581
SLD,CODE,소론도정,2336,0,0,0,0,2336
SMZNA,CODE,소마지나정500mg,230,0,0,0,0,230
,NOCODE,속시나제삼중정,0,0,0,0,0,0
,NOCODE,속시틴정,0,0,0,0,0,0
SLNC10,CODE,솔리나신정10mg,96,0,0,0,0,96
SLNC5,CODE,솔리나신정5mg,475,0,0,0,0,475
SSOFTEN,CODE,솝튼정,2297.5,0,0,0,0,2297.5
SMTR50,CODE,수마트란정50mg,15,0,0,0,0,15
PSDFD,CODE,슈다페드정60mg,1461.5,0,0,0,0,1461.5
,NOCODE,스타레탐정1000mg,0,0,0,0,0,0
,NOCODE,스타레탐정500mg,0,0,0,0,0,0
STAVIC,CODE,스타빅현탁액20mL,91,0,0,0,0,91
,NOCODE,스토마정,0,0,0,0,0,0
STOM,CODE,스토엠정,550,0,0,0,0,550
STRMT3,CODE,스트로멕톨정3mg,0,0,0,0,0,0
SPT4,CODE,스피틴정40mg,0,0,0,0,0,0
SGMT5,CODE,시그마트정5mg,1618,0,0,0,0,1618
SSMCP,CODE,시메코판연질캡슐,0,0,0,0,0,0
SALP10,CODE,시암로핀정10mg,507,0,0,0,0,507
SIAM,CODE,시암로핀정5mg,1395,0,0,0,0,1395
,NOCODE,시클러캡슐250mg,0,0,0,0,0,0
CPLC250,CODE,시플록신정250mg,1623,0,0,0,0,1623
SSBRO,CODE,신바로정,707,0,0,0,0,707
BRHX,CODE,신일브롬헥신염산염정,11619,0,0,0,0,11619
,NOCODE,신일엠정,0,0,0,0,0,0
,NOCODE,신일이부프로펜정400mg,0,0,0,0,0,0
LTAMHL1,CODE,신일티아민염산염정10mg,1529,0,0,0,0,1529
FLACD,CODE,신일폴산정,1593,0,0,0,0,1593
,NOCODE,신일피리독신정,0,0,0,0,0,0
,NOCODE,신텍클로페낙정100mg,0,0,0,0,0,0
,NOCODE,신풍플루캡슐75mg->타미플루,0,0,0,0,0,0
,NOCODE,실로엘서방캡슐100mg,0,0,0,0,0,0
CLT100,CODE,실로탄정100mg,557,0,0,0,0,557
CLTSR100,CODE,실로탈서방캡슐100mg,0,0,0,0,0,0
SSC,CODE,실콘정625mg,0,0,0,0,0,0
,NOCODE,심바스틴정20mg,0,0,0,0,0,0
SSVC2,CODE,심바코정20mg,0,0,0,0,0,0
,NOCODE,써스펜8시간이알서방정650mg,0,0,0,0,0,0
CLMC100,CODE,쎄레민캡슐100mg,0,0,0,0,0,0
,NOCODE,쎄레브렉스캡슐100mg,0,0,0,0,0,0
,NOCODE,쎄레브렉스캡슐100mg/코드변경,0,0,0,0,0,0
,NOCODE,쎄로티핀정25mg,0,0,0,0,0,0
CIRT160,CODE,씨르탄정160mg,417,0,0,0,0,417
CIRT80,CODE,씨르탄정80mg,333.5,0,0,0,0,333.5
CRTMP125,CODE,씨르텔미플러스정40/12.5mg,30,0,0,0,0,30
CMGMLXC75,CODE,씨엠지멜록시캄캡슐7.5mg,0,0,0,0,0,0
CMFN5,CODE,씨엠피나정5mg,0,0,0,0,0,0
,NOCODE,씨제이크레메진세립2g,0,0,0,0,0,0
,NOCODE,씨투스정50mg,0,0,0,0,0,0
CTLX100,CODE,씨트렉스캡슐100mg,236,0,0,0,0,236
CTLX200,CODE,씨트렉스캡슐200mg,824,0,0,0,0,824
CTRC150,CODE,씨트리카캡슐150mg,461,0,0,0,0,461
CTRC75,CODE,씨트리카캡슐75mg,694,0,0,0,0,694
CP5,CODE,씨펜정,836,0,0,0,0,836
SSYNROD25,CODE,씬지로이드정0.025mg,0,0,0,0,0,0
SYNRID15,CODE,씬지로이드정0.15mg,891,0,0,0,0,891
SYNSRID,CODE,씬지로이드정0.1mg,936.75,0,0,0,0,936.75
STRX125,CODE,씬지록신정125μg,230,0,0,0,0,230
STRX25,CODE,씬지록신정25μg,745,0,0,0,0,745
SSYNYRXN8,CODE,씬지록신정88μg,580,0,0,0,0,580
,NOCODE,아가메이트현탁액,0,0,0,0,0,0
ARGOTIN,CODE,아고틴정25mg,56,0,0,0,0,56
AGIO,CODE,아기오과립6g,222,0,0,0,0,222
ANDSC05,CODE,아나딘연질캡슐0.5mg,203,0,0,0,0,203
ANRX,CODE,아노렉스캡슐25mg,612,0,0,0,0,612
