snapshot_month,drug_code,code_status,약품명,opening_qty,opening_amt,in_qty,in_amt,used_qty,used_amt,disposal_qty,return_qty,closing_qty,closing_amt
2026-01,,NOCODE,멀타핀정15mg,,,0,0,0,0,0,0,0,0
2026-01,,NOCODE,멀타핀정7.5mg,,,0,0,0,0,0,0,0,0
2026-01,MULTAQ,CODE,멀택정400mg,0,0,120,0,18,0,0,0,102,0
2026-01,MGTR,CODE,메가트리연질캡슐,216,54432,300,75600,61,15372,0,0,455,114660
2026-01,SMGFMERT,CODE,메가폴민서방정500mg,,,0,0,0,0,0,0,0,0
2026-01,,NOCODE,메게롤현탁액10ml,,,0,0,0,0,0,0,0,0
2026-01,MEGESIA,CODE,메게시아현탁액,28,36400,0,0,0,0,28,0,0,0
2026-01,,NOCODE,메게이스에프현탁액5ml,,,0,0,0,0,0,0,0,0
2026-01,MGTS,CODE,메게이트현탁액,42,74760,28,49840,20,35600,0,0,50,89000
2026-01,,NOCODE,메게프로현탁액(메게이스로변경),,,0,0,0,0,0,0,0,0
2026-01,,NOCODE,메네스에스정/23.6.19입고,,,0,0,0,0,0,0,0,0
2026-01,SMNCT4,CODE,메녹틸정40mg,134,23182,0,0,46.5,8044.5,0,0,87.5,15137.5
2026-01,MDLC,CODE,메디락디에스장용캅셀,,,0,0,0,0,0,0,0,0
2026-01,SMDAVL,CODE,메디아벤엘정,224,44352,0,0,0,0,0,0,224,44352
2026-01,MEDC625,CODE,메디크라정625mg,49,23667,200,96600,186.5,90079.5,0,0,62.5,30187.5
2026-01,MMMSC,CODE,메모엠연질캡슐,748,374000,0,0,196,98000,0,0,552,276000
2026-01,MSTN6,CODE,메스티논정60mg,295,39530,0,0,0,0,0,0,295,39530
2026-01,,NOCODE,메치론정4mg,,,0,0,0,0,0,0,0,0
2026-01,MLMPR2,CODE,멜라엠서방정2mg,567,218295,270,103950,268,103180,0,0,569,219065
2026-01,MLXC,CODE,멜록스캡슐,,,90,24300,0,0,0,0,90,24300
2026-01,GLCPRLAT,CODE,명문글리코피롤레이트정,2220.5,155435,900,63000,399.5,27965,0,0,2721,190470
2026-01,NTRGLCR,CODE,명문니트로글리세린설하정0.6mg,515,21115,0,0,0,0,0,0,515,21115
2026-01,CODEINE,CODE,명문인산코데인정,,,0,0,0,0,0,0,0,0
2026-01,,NOCODE,명문제약티로프라미드염산염정/비엘티로미변경(8.10),,,0,0,0,0,0,0,0,0
2026-01,,NOCODE,명인벤즈트로핀 1mg-환인제약으로변경(8.30),,,0,0,0,0,0,0,0,0
2026-01,BSPR10,CODE,명인부스피론염산염정10mg,243,48600,400,80000,77.5,15500,0,0,565.5,113100
2026-01,SAMTRPTL,CODE,명인아미트리프틸린염산염정10mg,898,17960,0,0,201,4020,0,0,697,13940
2026-01,,NOCODE,명인엔타카폰정200mg,,,0,0,0,0,0,0,0,0
2026-01,CLRMZ50,CODE,명인클로르프로마진염산염정50mg,1263.75,88462.5,0,0,72,5040,0,0,1191.75,83422.5
2026-01,SMNTRZDHL25,CODE,명인트라조돈염산염정25mg,2500,117500,500,23500,390,18330,0,0,2610,122670
2026-01,SMITRZDT5,CODE,명인트라조돈염산염정50mg,2591,217644,0,0,99,8316,0,0,2492,209328
2026-01,MNPRPNZ4,CODE,명인페르페나진정4mg,965,49215,0,0,0,0,0,0,965,49215
2026-01,,NOCODE,모누롤산,,,0,0,0,0,0,0,0,0
2026-01,SMOSAPIT5,CODE,모사피트정5mg,13000,1339000,4500,463500,2654,273362,0,0,14846,1529138
2026-01,,NOCODE,모사핀정(속시틴으로 변경),,,0,0,0,0,0,0,0,0
2026-01,MONTELOS10,CODE,몬테로스정10mg,163,126162,0,0,31,23994,0,0,132,102168
2026-01,,NOCODE,몬테루칸정10mg,,,0,0,0,0,0,0,0,0
2026-01,SMST4,CODE,몰시톤정4mg,416,88608,0,0,31,6603,0,0,385,82005
2026-01,,NOCODE,무코란정,,,0,0,0,0,0,0,0,0
2026-01,,NOCODE,뮤코졸정,,,0,0,0,0,0,0,0,0
2026-01,,NOCODE,뮤테인캡슐200g,,,0,0,0,0,0,0,0,0
2026-01,,NOCODE,뮤테인캡슐200g(비엘아세틸캡슐 변경),,,0,0,0,0,0,0,0,0
2026-01,SMINOCC5,CODE,미노씬캅셀50mg,325,57850,0,0,85,15130,0,0,240,42720
2026-01,,NOCODE,미니린멜트설하정60mcg,,,0,0,0,0,0,0,0,0
2026-01,MDR,CODE,미드론정,851,89355,0,0,36,3780,0,0,815,85575
2026-01,MIRAP,CODE,미라프정0.25mg,100,31400,0,0,0,0,0,0,100,31400
2026-01,MIRAP0.5,CODE,미라프정0.5mg,300,153900,0,0,0,0,0,0,300,153900
2026-01,MIRTA15,CODE,밀타정15mg,590.5,273401.5,0,0,0,0,0,0,590.5,273401.5
2026-01,MIRTA7.5,CODE,밀타정7.5mg,207,68931,0,0,0,0,0,0,207,68931
2026-01,BNN10,CODE,바난정,195,106470,0,0,56,30576,0,0,139,75894
2026-01,BARACT0.5,CODE,바라크루드정0.5mg,96,288096,30,90030,31,93031,0,0,95,285095
2026-01,VLT3,CODE,바렙톨서방정,6000,492000,0,0,108,8856,0,0,5892,483144
2026-01,,NOCODE,바로메졸캡슐20mg,,,0,0,0,0,0,0,0,0
2026-01,,NOCODE,바로스크정10mg,,,0,0,0,0,0,0,0,0
2026-01,,NOCODE,바로스크정5mg,,,0,0,0,0,0,0,0,0
2026-01,,NOCODE,바로판10mg,,,0,0,0,0,0,0,0,0
2026-01,VSTNMR,CODE,바스티난엠알서방정35mg,217,15190,0,0,75,5250,0,0,142,9940
2026-01,VSTN,CODE,바스티난정,30,2310,0,0,0,0,0,0,30,2310
2026-01,BACILLI,CODE,바실리포미스캡슐,3281,416687,0,0,2581,327787,0,0,700,88900
2026-01,SBCLP1,CODE,바크라폰정10mg,5700,701100,0,0,1372.5,168817.5,0,0,4327.5,532282.5
2026-01,VANCOZIN,CODE,반코진캡슐125mg,172,402996,90,210870,81,189783,0,0,181,424083
2026-01,VCZC,CODE,반코진캡슐250mg,260,902980,0,0,0,0,0,0,260,902980
2026-01,,NOCODE,발탄필름코팅정/160mg,,,0,0,0,0,0,0,0,0
2026-01,SVATNFMCT8,CODE,발탄필름코팅정80mg,,,0,0,0,0,0,0,0,0
2026-01,VNRNC3,CODE,베노론캡슐,80,12960,0,0,0,0,20,0,60,9720
2026-01,VNT5,CODE,베니톨500mg,70,14420,0,0,0,0,0,0,70,14420
2026-01,,NOCODE,베시솔정10mg,,,0,0,0,0,0,0,0,0
2026-01,,NOCODE,베시솔정5mg,,,0,0,0,0,0,0,0,0
2026-01,,NOCODE,베아릴엠정2/500MG,,,0,0,0,0,0,0,0,0
2026-01,,NOCODE,베아릴정2mg,,,0,0,0,0,0,0,0,0
2026-01,,NOCODE,베아신정250mg,,,0,0,0,0,0,0,0,0
2026-01,BACXB2,CODE,베아콕시브캡슐200mg,,,0,0,0,0,0,0,0,0
2026-01,BTGR50,CODE,베타그론서방정50mg,1628,620268,0,0,298,113538,0,0,1330,506730
2026-01,,NOCODE,베타미가서방정50mg,,,0,0,0,0,0,0,0,0
2026-01,,NOCODE,베타유론서방정50mg,,,0,0,0,0,0,0,0,0
2026-01,BPS10,CODE,베포쎈정10mg,,,0,0,0,0,0,0,0,0
2026-01,BNL-A,CODE,보나링에이정,551.5,16545,0,0,155,4650,0,0,396.5,11895
2026-01,,NOCODE,보니엠정150mg,,,0,0,0,0,0,0,0,0
2026-01,MEIAT,CODE,보령메이액트정100mg,1710,938790,0,0,181,99369,0,0,1529,839421
2026-01,ASTRXBYC1,CODE,"보령바이오아스트릭
스캡슐100mg",1423,109571,0,0,336,25872,0,0,1087,83699
2026-01,EBSTBR,CODE,보령에바스텔정,150,38550,0,0,26,6682,0,0,101,31868
2026-01,BONA70,CODE,본에이드정70mg,12,63924,4,21308,5,26635,0,0,11,58597
2026-01,,NOCODE,본틸정150mg,,,0,0,0,0,0,0,0,0
2026-01,,NOCODE,본틸정35mg,,,0,0,0,0,0,0,0,0
2026-01,MTMZLBK,CODE,부광메티마졸정5mg,348,13572,0,0,0,0,0,0,348,13572
2026-01,AZEPT,CODE,부광아젭틴200정,0,0,200,33800,0,0,0,0,200,33800
2026-01,BKETCVIRT,CODE,부광엔테카비르정0.5mg,,,0,0,0,0,0,0,0,0
2026-01,,NOCODE,부광엔테카비르정1mg,,,0,0,0,0,0,0,0,0
2026-01,ISMRTD,CODE,부광이소맥지속성캡슐20mg,100,0,-100,0,0,0,0,0,0,0
2026-01,BRNJ,CODE,브로나제장용정,577,38659,0,0,0,0,0,0,577,38659
2026-01,,NOCODE,브로멜장용정45mg,,,0,0,0,0,0,0,0,0
2026-01,BRTLX1,CODE,브린텔릭스정10mg,126.5,88929.5,0,0,0,0,0,0,126.5,88929.5
2026-01,BRLT9,CODE,브릴린타정90mg,112,67872,56,33936,58,35148,0,0,110,66660
2026-01,VNCLEAN,CODE,비나크린정,82,35834,0,0,0,0,0,0,82,35834
2026-01,VRAD,CODE,비리어드정,,,0,0,0,0,0,0,0,0
